,0
5208216,6.2
120901,6.1
120903,7.3
458525,6.5
103584,8.4
290334,7.4
8042500,6.0
1068680,6.8
38263,6.6
203230,7.5
62512,6.8
5742374,6.7
128853,6.7
1625346,6.3
72431,8.0
103312,6.2
1240982,5.5
443706,7.7
2948356,8.0
1179933,7.2
0147800,7.4
0118528,7.8
0114746,8.0
2024544,8.1
1542344,7.5
2991516,2.9
0450385,6.8
0103594,6.4
0179626,6.1
0450232,6.6
0974661,6.4
8579674,8.2
1190080,5.8
4385888,7.3
0315733,7.6
1232829,7.2
7280898,6.8
0307901,7.6
0191754,6.1
0289043,7.5
0463854,6.8
0381849,7.6
0040064,7.0
1187043,8.4
0389722,6.6
1622547,6.0
0496424,8.3
0416449,7.6
0453562,7.5
1335975,6.2
0083511,6.9
1022603,7.6
0134273,6.6
0080319,6.9
2891174,7.1
0268978,8.2
0112594,4.8
0044008,8.1
0085334,7.9
0066921,8.2
1571222,6.4
5918074,7.4
0097243,7.0
5639354,7.2
0104257,7.7
0095159,7.5
0401445,6.9
0113198,7.0
0058182,7.5
0399146,7.4
0829459,6.6
3416532,7.4
0120770,6.2
0087800,7.4
0093629,6.7
0095742,5.6
0097981,5.0
0971209,6.5
0107808,7.5
4080956,6.8
6644200,7.5
0405296,7.0
1832382,8.3
7040874,6.7
0120324,7.5
1315981,7.5
0075265,6.1
1603257,4.7
1496729,8.4
2667918,6.3
0257360,7.2
2194499,7.8
0094602,6.0
0118548,6.7
0109040,6.9
2935510,6.5
0118564,6.9
1815862,4.8
0838247,5.9
0371514,7.4
7985692,6.3
0088683,6.6
0118571,6.5
0080339,7.7
0083530,6.2
0375173,6.2
0248667,6.7
1014759,6.4
0078748,8.5
2316204,6.4
0094631,6.3
0118583,6.2
0090605,8.4
0042192,8.2
0881891,4.8
0847214,5.1
9206798,6.3
0078754,7.8
0041113,7.4
5294550,6.8
0181875,7.9
0369226,2.4
0080360,6.9
0086879,8.4
1129445,5.8
6212478,7.0
0169547,8.3
1169133,4.9
0765429,7.8
0120586,8.5
1844624,7.9
1800241,7.2
2254364,4.6
0244000,5.9
0144084,7.6
0101327,5.8
0305206,7.4
3316948,6.1
1602620,7.9
0040072,6.9
2663812,8.2
0050105,7.4
0082010,7.5
0118604,5.1
1174732,7.2
0084434,7.1
0118615,4.9
0289848,5.9
0122933,6.7
0118617,7.2
0052561,8.0
1003594,6.3
0225071,5.7
0029870,7.9
3612008,3.5
1313092,7.2
1781769,6.6
3322940,5.5
0075686,7.9
2798920,6.8
2401878,7.2
1521197,6.8
0218817,6.1
0120587,6.5
0146838,6.9
0043291,6.5
0078788,8.4
0090655,6.1
0118636,6.7
1764183,6.6
0106303,5.1
0422774,4.3
1024648,7.7
0120591,6.7
4451006,3.7
0106308,7.4
2543164,7.9
1334512,5.7
2870612,6.3
0119822,7.7
6205872,6.0
0112401,6.3
0132512,6.0
2406566,6.7
0783233,7.8
0118655,7.0
0145660,6.7
2114461,4.4
0174480,5.6
0499549,7.9
4154796,8.4
0211933,6.5
0099077,7.8
0449467,7.5
3890160,7.5
0088763,8.5
0096874,7.8
0101393,6.7
1502397,6.5
2350892,5.8
0047849,7.7
0094701,5.6
0103759,7.0
0115610,5.8
0307987,7.0
1284575,5.7
6628394,7.1
2170299,6.6
0069762,7.7
0787470,5.4
0215545,6.7
0303714,6.3
6967980,7.5
0302297,4.7
1423894,7.3
5477566,6.0
0072684,8.1
0101410,7.6
0103772,7.1
0115632,6.9
0096895,7.5
0372784,8.2
0112462,5.5
0106364,7.8
0103776,7.1
0118688,3.8
1672723,7.3
2975590,6.4
1217613,5.7
0069768,5.4
4622512,6.7
0185183,2.5
0407362,8.7
0094715,7.0
0118689,6.5
1365050,7.7
0115639,7.1
2771200,7.1
0115641,6.8
0038343,6.8
0094721,7.4
2209418,7.9
0112471,8.1
0381681,8.1
0115645,6.1
1532503,7.2
0106379,5.3
0120601,7.7
