imdb_id,character_name_search,gender
80319,Violet Newstead,Female
40072,Judge Calvin Cooke ,Male
3322940,Mia Gordon,Female
1781782,Solomon Rothman ,Male
1106815,George Ducker ,Unknown
85995,Clark Griswold ,Male
110907,Kitty Potter ,Female
473267,Megan ,Female
1321509,Aaron,Male
100260,Aaron Boone,Male
1226229,Aaron Green ,Male
1142988,Abby Richter,Female
5816682,Abdul Karim,Male
443272,Abraham Lincoln,Male
109040,Ace Ventura,Male
332452,Achilles,Male
1411238,Adam,Male
1714915,Adam,Male
1371111,Adam Ewing ,Male
94721,Adam Maitland,Male
264616,Adam Meiks ,Male
1282592,Adam Meiks ,Male
581053,Adam Webber ,Unknown
124298,Adam Weber,Male
1231587,Adam Yates,Male
6857112,Adelaide Wilson,Female
1967545,Adele Wheeler ,Female
92007,Admiral James T. Kirk ,Male
116192,Adolf Hitler ,Male
6343314,Adonis Creed,Male
3076658,Adonis Johnson Creed,Male
465494,Agent 47 ,Male
1365050,Agu ,Male
2404461,Ahmad ,Male
340855,Aileen Wuornos,Female
38661,Al Jolson ,Male
109450,Al Stump ,Male
126388,Alain Lefevre,Male
93773,"Alan ""Dutch"" Schaefer",Male
113497,Alan Parrish,Male
2084970,Alan Turing,Male
1568911,Albert Narracott ,Male
90060,Alec,Male
120746,Alejandro Murrieta,Male
386140,Alejandro de la Vega,Male
2667918,Alex ,Male
195714,Alex,Male
132910,Alex Corvis,Unknown
66921,Alex DeLarge,Male
111149,Alex Law,Male
85549,Alex Owens,Unknown
375173,Alfie Elkins ,Male
482571,Alfred Borden,Male
2053425,Ali ,Male
1126591,Ali Rose ,Female
432021,Alice,Female
120804,Alice,Female
95742,Alice Johnson,Female
97981,Alice Johnson ,Female
1014759,Alice Kingsleigh,Female
1233334,Alike ,Female
1229165,Allan Karlsson ,Male
120907,Allegra Geller,Female
1386588,Allen Gamble and Terry Hoitz,Male
1311071,Allen Ginsberg ,Male
75686,Alvy Singer,Male
6304162,Alyosha ,Male
157503,Amber Atkins ,Female
1097649,Amber Tamblyn ,Female
2321549,Amelia,Female
6141246,Amelia Wren ,Female
217505,Amsterdam Vallon ,Male
963794,Amy ,Female
